Line,Sex,Mean,StError
RP0398,M,0.362371001,0.057046838
RP0407,M,0,0
RP0429,M,0.66568807,0.059912229
RP0432,M,0.178599071,0.046109737
RP0433,M,0.291666667,0.054718942
RP0434,M,0,0
RP0446,M,0.835526316,0.044307705
RP0447,M,0.263541667,0.051213313
RP0448,M,0,0
RP0457,M,0.510042735,0.062487392
RP0463,M,0.221794872,0.057613084
RP0466,M,0.936184211,0.027499904
RP0469,M,0.465612002,0.05798619
RP0471,M,1,0
RP0474,M,0,0
RP0475,M,0.689280186,0.048588209
RP0476,M,0.917708333,0.03216391
RP0479,M,0.906858445,0.033785133
RP0480,M,0.29751462,0.052440401
RP0490,M,0.9875,0.012661297
RP0493,M,0.909722222,0.034252779
RP0501,M,0.167927171,0.042324697
RP0504,M,0.482638889,0.062462313
RP0505,M,0.133333333,0.041843061
RP0514,M,0.795394737,0.045677514
RP0515,M,0.713541667,0.055650418
RP0521,M,0.791666667,0.045983631
RP0523,M,0.748937909,0.051828001
RP0525,M,0.042569659,0.024304077
RP0538,M,0.688888889,0.054941837
RP0543,M,0.385896113,0.058604583
RP0549,M,0.055641555,0.027014804
RP0556,M,0.359477124,0.057766813
RP0561,M,0.885294118,0.04336504
RP0562,M,0.383928571,0.063859682
RP0565,M,0.574049708,0.056721462
RP0570,M,0.801151316,0.046398376
RP0579,M,0.642095588,0.059460244
RP0582,M,0.597870879,0.0655228
RP0584,M,0.071981424,0.030673221
RP0587,M,0.822368421,0.043001119
RP0590,M,0.412280702,0.056096545
RP0603,M,0.459064328,0.057928692
RP0609,M,0.906597376,0.036093591
RP0611,M,0.658371041,0.059281982
RP0615,M,0.865277778,0.039960965
RP0622,M,0.721448228,0.052467953
RP0630,M,0.57689951,0.05947676
RP0634,M,0.574652778,0.059091571
RP0637,M,0.901078216,0.03494345
RP0641,M,0.683479532,0.054438008
RP0642,M,0.259210526,0.049937679
RP0643,M,0.297916667,0.053898352
RP0646,M,0.538941564,0.06001009
RP0658,M,0.475735294,0.057667001
RP0659,M,0.182189543,0.044571518
RP0661,M,0.016666667,0.016527194
RP0665,M,0.056907895,0.027114518
RP0669,M,0.572368421,0.057127088
RP0674,M,0.814327485,0.044899626
RP0680,M,0.225270898,0.047920428
RP0696,M,0.944901316,0.026524547
RP0697,M,0.549693628,0.062190552
RP0698,M,0.859868421,0.039558393
RP0709,M,0.32127193,0.055418545
RP0723,M,0.35515873,0.058034093
RP0732,M,0.601681287,0.056528567
RP0737,M,0.261606449,0.040718005
RP0744,M,0.044444444,0.024809166
RP0752,M,0.069047619,0.03273124
RP0756,M,0.5,0.05976143
RP0766,M,0.123574561,0.040508863
RP0768,M,0.578216374,0.058608536
RP0777,M,0.548768225,0.061252293
RP0785,M,0.280921053,0.051219469
RP0790,M,0.165178571,0.047939999
RP0791,M,0.019607843,0.022186241
RP0793,M,0.452614379,0.059922003
RP0805,M,0.068885449,0.029846888
RP0817,M,0.320833333,0.052854336
RP0844,M,0.015625,0.015039585
RP0850,M,0.686764706,0.056245123
RP0859,M,0.383479532,0.055774803
RP0860,M,0.877192983,0.038154284
RP0868,M,0.522058824,0.063956108
RP0873,M,0.215371149,0.050600398
RP0874,M,0.159869929,0.041232827
RP0875,M,0,0
RP0878,M,0.859868421,0.039054444
RP0893,M,0.645486111,0.056375944
RP0894,M,0.305555556,0.05545482
RP0895,M,0.087121212,0.039108111
RP0906,M,0.7625,0.050503626
RP0917,M,0.246568628,0.052656666
RP0920,M,0.35843254,0.058152772
RP0922,M,0.108918129,0.036972576
RP0923,M,0.045955882,0.025774059
RP0937,M,0.451754386,0.059912056
RP0941,M,0.672837117,0.054540752
RP0942,M,0.511447811,0.065094447
RP0944,M,0.046875,0.025632509
RP0946,M,0.116452992,0.040737494
RP0947,M,0.908320433,0.033101603
RP0953,M,0.157894737,0.043275076
RP0964,M,0.028782895,0.019704215
RP0971,M,0.091447368,0.033283579
RP0976,M,0.025,0.02050021
RP0981,M,0.128947368,0.038192939
RP1002,M,0.228289474,0.048466262
RP1014,M,0.405263158,0.055235392
RP1032,M,0,0
RP1033,M,0.013888889,0.013697309
RP1042,M,0.609868421,0.055587643
RP1055,M,0.202962676,0.046755377
RP1061,M,0.029411765,0.019911859
RP1074,M,0.040363777,0.012579873
RP1114,M,0.0125,0.054388176
RP1126,M,0.667763158,0.054470093
RP1128,M,0.254821336,0.05520605
RP1134,M,0.353637771,0.02137482
RP1142,M,0.0375,0.02137482
RP1145,M,0.755263158,0.057586317
RP1170,M,0.394005848,0.023034977
RP1193,M,0.013888889,0.013888889
RP1196,M,0.416374269,0.056921787
RP1200,M,0.16995614,0.042802939
RP1204,M,0,0
RP1214,M,0.018518519,0.019665059
RP1216,M,0.026315789,0.018864748
RP1221,M,0.284576023,0.052101505
RP1225,M,0.83878999,0.050214344
RP1230,M,0.717777778,0.046671218
RP1232,M,0.221749226,0.047652319
RP1238,M,0.350694444,0.058737713
RP1249,M,0.021637427,0.015169065
RP1258,M,0.0375,0.021937411
RP1259,M,0.79130117,0.046311148
RP1271,M,0.091021672,0.032994562
RP1272,M,0.268051173,0.054940491
